Created Date;UTM_Campaign;UTM_Content ;UTM_Term;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Account Status;Unmatched;Hand Raiser;UTM_Medium
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Enterprise - East;Medium;Low;Assigned;0;0;paid-content-syndication
1/6/2023;fy23-q4-amer-grow_with_braze_sf;;;;High;;Unassigned;0;0;paid-social
11/28/2022;fy23-q4-amer-bau_retint;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
11/29/2022;fy22-amer-email_marketing;undefined;email_marketing_best_practices|email marketing best practices|e|g|c||542343632765;SMB AMER - West;High;Low;Assigned;0;0;paid-search
12/21/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Enterprise - Strat;Medium;Low;Assigned;0;0;paid-content-syndication
12/30/2022;Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing data|p|g|m||379480664589;AMER Emerging Ent - West - 2;High;Medium;Assigned;0;0;paid-search
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;High;Low;Assigned;0;0;paid-content-syndication
11/1/2022;fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|c||542343389186;SMB AMER - Central;High;High;Assigned;0;1;paid-search
1/25/2023;fy23-q4-amer-loyalty_guide;;;AMER Enterprise - West;High;Low;Assigned;0;0;paid-content-syndication
11/22/2022;fy23-q4-amer-remarketing_allsite;marketing_ecosystems_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Emerging Ent - East - 2;Low;Low;Assigned;0;0;paid-content-syndication
11/13/2022;fy22-amer-acq_e_retention-marketing;mt_brand_ad_copy_fy22;user-retention_bm|+user +retention|b|g|c||572731153906;;High;Low;No Account Mapped;1;0;paid-search
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-content-syndication
12/5/2022;fy23-q4-amer-bau_smb;customer_engagement_ebook;undefined;;High;Low;No Account Mapped;1;0;paid-social
1/9/2023;fy23-q4-amer-bau_smb;retention_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
