UTM_Campaign;UTM_Content ;UTM_Term;Marketing Qualified Date;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Unmatched;Hand Raiser;UTM_Medium
fy22-amer-email_marketing;;email_marketing|email marketing|p|g|c||542343389213#Cj0KCQiA-oqdBhDfARIsAO0TrGGL09HZXMMGwE4ik-EmqqPcJYCZti1wVHMI5AJ9dE1CPEB7712o6D0aAtQ8EALw_wcB;12/21/2022 12:00 AM;AMER Scale - Central;Medium;;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze-pricing_em|braze pricing|e|g|c||502656816223;11/30/2022 12:00 AM;SMB AMER - Central;High;Low;0;1;paid-search
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|c||542343389186;1/1/2023 12:00 AM;;High;Low;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375405;1/18/2023 12:00 AM;AMER Emerging Ent - East - 2;Low;Low;0;1;paid-search
fy22-amer-email_marketing_platform;;best_email_marketing_service|best email marketing service|e|g|c||516472499164#CjwKCAiA9qKbBhAzEiwAS4yeDXOnFE9naIEmSsLRTtetg_ycraT6jCI9MHMkH0iWnhtmrebJNW0U9xoCM04QAvD_BwE;11/7/2022 12:55 PM;SMB AMER - East;High;;1;1;paid-search
fy22-amer-comp_direct_competitors;mt_competitor_ad_copy_fy22;mailchimp|mailchimp|p|g|c||572979184291;1/12/2023 12:00 AM;SMB AMER - East;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;;automated_email_marketing_platform|automated email marketing platform|p|g|c||516472499032#CjwKCAjwzY2bBhB6EiwAPpUpZmgGk1NE6ss0tW__w6PtkQuCyd9Y7Zs2GNHVRxSHkSE2_oQ2ECr3NxoCJQoQAvD_BwE;11/3/2022 12:36 PM;SMB AMER - West;Medium;Low;1;1;paid-search
fy23-q3-amer-modern_customer_retention_guide;;;11/18/2022 12:00 AM;AMER Enterprise - Central;High;Medium;0;0;paid-content-syndication
fy23-q4-amer-power_of_personalization;;;1/9/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Medium;0;0;paid-content-syndication
fy23-q2-amer-shopify_guide;;;1/12/2023 12:00 AM;AMER Emerging Ent - West - 2;Medium;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_agency|email marketing agency|e|g|c||587080375801#CjwKCAiAqt-dBhBcEiwATw-ggImsHECVgUNcV9lNBH1seL8mtuP8gs6tkJ-RE4D1DhFa9ZRgCq0XzxoCjewQAvD_BwE;1/6/2023 2:36 PM;SMB AMER - Central;Medium;Low;0;0;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_canvas|braze canvas|e|g|c||527617536220;11/17/2022 12:00 AM;SMB AMER - East;High;Low;1;1;paid-search
fy22-amer-email_marketing_platform;;email_marketing_tool|email marketing tool|p|g|c||542343389162#CjwKCAiAzp6eBhByEiwA_gGq5A_NcgTB8lSylORxhHo2HnpQJqqDo8L3fBTzqC8SgrGf2UmPnpE8lRoCabwQAvD_BwE;1/18/2023 3:13 PM;;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;12/13/2022 12:00 AM;;Medium;;1;1;paid-search
fy22-amer-email_marketing;;email_marketing|email marketing|p|g|c||542343389210#Cj0KCQiAn4SeBhCwARIsANeF9DIc573Nu6lY9SNnzi2iz-srjNK-HxXL80Pm-5cAPMHfeNe-X5dMvDwaAgc9EALw_wcB;1/13/2023 12:32 PM;;High;;1;1;paid-search
fy24-q3-amer-post_holiday_campaigns_guide;;;12/9/2022 12:00 AM;AMER Enterprise - Central;Medium;Low;0;0;paid-content-syndication
fy23-q3-amer-modern_customer_retention_guide;;;11/18/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Medium;0;0;paid-content-syndication
