Reached Pipeline Opportunity Date;UTM_Campaign;UTM_Term;UTM_Content ;Account Owner Territory;Amount Currency;Pipeline Amount;Unmatched;UTM_Medium
11/8/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;SMB AMER - AM;USD;27001;0;paid-search
11/3/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;;SMB AMER - AM;USD;27850;0;paid-search
11/10/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502656816181;;AMER Scale - Central;USD;60044;0;paid-search
1/24/2023;fy23-q1-amer-retail_customer_engagement_review;;retail_customer_engagement_review;AMER Enterprise - West;USD;185266;0;paid-content-syndication
12/12/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;AMER Scale - East - 1;USD;72409,25;1;paid-search
12/19/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||587080375402;mt_brand_ad_copy_fy22;AMER Enterprise - East;USD;206904;0;paid-search
12/9/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011#Cj0KCQiAvqGcBhCJARIsAFQ5ke6TR71LPWsS-esWswrBBVAqnxTDM1LwGibgmv8StpvspZEMb6Ak1n0aArbHEALw_wcB;mt_brand_ad_copy_fy22;AMER Emerging Ent - West - 1;USD;264263;0;paid-search
1/30/2023;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;AMER Enterprise - West;USD;454087;0;paid-search
12/13/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;SMB AMER - AM;USD;27245,67;1;paid-search
1/17/2023;fy22-amer-marketing_channels;in_app_marketing|in app marketing|p|g|m||516416948280;undefined;SMB AMER - Central;USD;24000;1;paid-search
12/14/2022;fy22-amer-brand_l_brand;braze_email_marketing|braze email marketing|e|g|c||502699581983#Cj0KCQiA4uCcBhDdARIsAH5jyUlzu3SV0-NlUfQdzREREzZczbMCpI1g-LfjT-6JsgaPtABzH5PhZvoaAtIQEALw_wcB;mt_brand_ad_copy_fy22;SMB AMER - Central;USD;24000;0;paid-search
11/4/2022;fy23-q4-amer-bau_groups;retention_guide;undefined;AMER Enterprise - Central;USD;102246;0;paid-social
1/5/2023;fy22-amer-email_marketing;email_marketing|email marketing|p|g|m||542343389210;undefined;SMB AMER - East;USD;24000;0;paid-search
1/5/2023;fy23-q4-amer-bau_retint;customer_engagement_ebook;undefined;SMB AMER - Central;USD;62485;0;paid-social
12/23/2022;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||587080375402;mt_brand_ad_copy_fy22;SMB AMER - Central;USD;24000;1;paid-search
